input,output
"{""hq_code"": ""BSP"", ""max_value"": 993, ""min_value"": 1612, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN BETWEEN 1612 AND 993 ORDER BY TOTAL_KMS DESC;
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""max_value"": 6139, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""min_value"": 4393, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""max_value"": 10662, ""min_value"": 5473, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS BETWEEN 5473 AND 10662 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""max_value"": 9249, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 9249 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""min_value"": 2712, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""max_value"": 5108, ""select_column"": ""RUN_DUTY_MIN""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 5108;
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""max_value"": 2303, ""min_value"": 3608, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""max_value"": 2064, ""min_value"": 262, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""min_value"": 6878, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY >= 6878 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 12983, ""min_value"": 10085, ""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""BSP"", ""min_value"": 14764, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN >= 14764;
"{""max_value"": 5259, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN <= 5259 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 7872, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN <= 7872 ORDER BY TOTAL_KMS ASC;
"{""max_value"": 8183, ""min_value"": 7138, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS BETWEEN 7138 AND 8183 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""min_value"": 13490, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN >= 13490 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 4697, ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS <= 4697;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""TDL"", ""max_value"": 9645, ""min_value"": 14200, ""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY BETWEEN 14200 AND 9645;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""BSP"", ""max_value"": 11325, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN <= 11325 ORDER BY TOTAL_KMS ASC;
"{""min_value"": 1583, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS >= 1583 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 12197, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN <= 12197 ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 133, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY <= 133;
"{""min_value"": 7932, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""max_value"": 6662, ""min_value"": 1882, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 1882 AND 6662;
"{""hq_code"": ""TDL"", ""min_value"": 2062, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS >= 2062 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 4163, ""min_value"": 5429, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN BETWEEN 5429 AND 4163;
"{""hq_code"": ""TDL"", ""min_value"": 2455, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 481, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 481 ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 5845, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 11661, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 11661 ORDER BY TOTAL_KMS DESC;
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 119, ""min_value"": 3520, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""max_value"": 6224, ""min_value"": 6707, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS BETWEEN 6707 AND 6224 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 1446, ""min_value"": 6349, ""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""max_value"": 14050, ""min_value"": 3919, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY BETWEEN 3919 AND 14050 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""TDL"", ""min_value"": 9981, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN >= 9981 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 2321, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY <= 2321;
"{""max_value"": 475, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN <= 475 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""min_value"": 1018, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS >= 1018 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 8167, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS <= 8167 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 2611, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS <= 2611 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 1496, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 1496;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 3210, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN <= 3210 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""max_value"": 2834, ""min_value"": 5273, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 5273 AND 2834;
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""max_value"": 2481, ""min_value"": 193, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN BETWEEN 193 AND 2481 ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""min_value"": 4380, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY >= 4380 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 7845, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN <= 7845;
"{""min_value"": 4697, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN >= 4697 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 6635, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY <= 6635 ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""min_value"": 9416, ""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS >= 9416;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""max_value"": 4251, ""min_value"": 14496, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS BETWEEN 14496 AND 4251 ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""max_value"": 5496, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""min_value"": 11104, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""max_value"": 11027, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN <= 11027;
"{""hq_code"": ""TDL"", ""max_value"": 2330, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 2330 ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""min_value"": 5388, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN >= 5388;
"{""hq_code"": ""TDL"", ""min_value"": 3953, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN >= 3953;
"{""hq_code"": ""BSP"", ""max_value"": 1842, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN <= 1842;
"{""min_value"": 10474, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""min_value"": 4938, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN >= 4938;
"{""hq_code"": ""TDL"", ""max_value"": 6884, ""min_value"": 3173, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY BETWEEN 3173 AND 6884 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS DESC;
"{""max_value"": 14785, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN <= 14785 ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""min_value"": 3396, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN >= 3396;
"{""hq_code"": ""BSP"", ""max_value"": 7782, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN <= 7782;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
"{""select_column"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA;
